PdfType: error
Format: lhagrid1
---
1.0000000E-09 1.2805087E-09 1.6397027E-09 2.0996536E-09 2.6886248E-09 3.4428076E-09 4.4085452E-09 5.6451808E-09 7.2287034E-09 9.2564179E-09 1.1852924E-08 1.5177773E-08 1.9435271E-08 2.4887035E-08 3.1868066E-08 4.0807337E-08 5.2254152E-08 6.6911899E-08 8.5681272E-08 1.0971562E-07 1.4049181E-07 1.7990099E-07 2.3036479E-07 2.9498413E-07 3.7772976E-07 4.8368627E-07 6.1936450E-07 7.9310166E-07 1.0155736E-06 1.3004509E-06 1.6652388E-06 2.1323528E-06 2.7304964E-06 3.4964246E-06 4.4772022E-06 5.7330966E-06 7.3412804E-06 9.4005738E-06 1.2037517E-05 1.5414146E-05 1.9737949E-05 2.5274616E-05 3.2364367E-05 4.1442855E-05 5.3067938E-05 6.7953959E-05 8.7015639E-05 1.1142429E-04 1.4267978E-04 1.8270270E-04 2.3395241E-04 2.9957810E-04 3.8361238E-04 4.9121901E-04 6.2901024E-04 8.0545312E-04 1.0313898E-03 1.3207036E-03 1.6911725E-03 2.1655612E-03 2.7730201E-03 3.5508765E-03 4.5469285E-03 5.8223817E-03 7.4556107E-03 9.5469747E-03 1.2224985E-02 1.5654200E-02 2.0045340E-02 2.5668233E-02 3.2868397E-02 4.2088270E-02 5.3894398E-02 6.9012248E-02 8.8370787E-02 1.0000000E-01 1.1216216E-01 1.2432432E-01 1.3648649E-01 1.4864865E-01 1.6081081E-01 1.7297297E-01 1.8513514E-01 1.9729730E-01 2.0945946E-01 2.2162162E-01 2.3378378E-01 2.4594595E-01 2.5810811E-01 2.7027027E-01 2.8243243E-01 2.9459459E-01 3.0675676E-01 3.1891892E-01 3.3108108E-01 3.4324324E-01 3.5540541E-01 3.6756757E-01 3.7972973E-01 3.9189189E-01 4.0405405E-01 4.1621622E-01 4.2837838E-01 4.4054054E-01 4.5270270E-01 4.6486486E-01 4.7702703E-01 4.8918919E-01 5.0135135E-01 5.1351351E-01 5.2567568E-01 5.3783784E-01 5.5000000E-01 5.6216216E-01 5.7432432E-01 5.8648649E-01 5.9864865E-01 6.1081081E-01 6.2297297E-01 6.3513514E-01 6.4729730E-01 6.5945946E-01 6.7162162E-01 6.8378378E-01 6.9594595E-01 7.0810811E-01 7.2027027E-01 7.3243243E-01 7.4459459E-01 7.5675676E-01 7.6891892E-01 7.8108108E-01 7.9324324E-01 8.0540541E-01 8.1756757E-01 8.2972973E-01 8.4189189E-01 8.5405405E-01 8.6621622E-01 8.7837838E-01 8.9054054E-01 9.0270270E-01 9.1486486E-01 9.2702703E-01 9.3918919E-01 9.5135135E-01 9.6351351E-01 9.7567568E-01 9.8783784E-01 1.0000000E+00 
1.6500000E+00 1.7874388E+00 1.9429053E+00 2.1193749E+00 2.3204100E+00 2.5502945E+00 2.8142025E+00 3.1184123E+00 3.4705775E+00 3.8800752E+00 4.3584516E+00 4.9200000E+00 
-5 -4 -3 -2 -1 21 1 2 3 4 5 
  3.6766957E-08 -7.4577328E-02 -3.4557495E-02  3.2804194E+00  6.8719757E+00  3.3729419E+01  6.8719831E+00  3.2804016E+00 -3.4761288E-02 -7.4577323E-02  3.6768866E-08
  5.7637226E-08  5.4333648E-01  5.8246061E-01  3.8885683E+00  7.4507101E+00  3.6186424E+01  7.4507209E+00  3.8885519E+00  5.8225550E-01  5.4333691E-01  5.7637593E-08
  8.3647213E-08  1.2280508E+00  1.2663876E+00  4.5636285E+00  8.0969136E+00  3.9114445E+01  8.0969257E+00  4.5636136E+00  1.2661798E+00  1.2280517E+00  8.3649071E-08
 -3.4401698E-08  1.9849958E+00  2.0226496E+00  5.3110219E+00  8.8159805E+00  4.2728180E+01  8.8159934E+00  5.3110082E+00  2.0224401E+00  1.9849968E+00 -3.4398480E-08
  1.1491512E-07  2.8203069E+00  2.8573756E+00  6.1368770E+00  9.6140145E+00  4.7291665E+01  9.6140288E+00  6.1368646E+00  2.8571632E+00  2.8203083E+00  1.1491718E-07
  1.1983520E-07  3.7410917E+00  3.7776706E+00  7.0482933E+00  1.0498089E+01  5.3125853E+01  1.0498104E+01  7.0482823E+00  3.7774571E+00  3.7410935E+00  1.1983693E-07
  2.1213523E-08  4.7555216E+00  4.7917021E+00  8.0534366E+00  1.1476349E+01  6.0611702E+01  1.1476366E+01  8.0534268E+00  4.7914859E+00  4.7555237E+00  2.1213654E-08
 -1.5612936E-07  5.8725671E+00  5.9084363E+00  9.1612702E+00  1.2557735E+01  7.0195768E+01  1.2557755E+01  9.1612629E+00  5.9082187E+00  5.8725696E+00 -1.5612602E-07
 -2.1034308E-07  7.1040697E+00  7.1397120E+00  1.0383631E+01  1.3754064E+01  8.2405139E+01  1.3754084E+01  1.0383624E+01  7.1394919E+00  7.1040725E+00 -2.1034364E-07
  4.3763981E-08  8.4602964E+00  8.4957912E+00  1.1730779E+01  1.5075576E+01  9.7832541E+01  1.5075599E+01  1.1730773E+01  8.4955702E+00  8.4602997E+00  4.3763721E-08
 -9.1593578E-08  9.9584848E+00  9.9939123E+00  1.3219947E+01  1.6539489E+01  1.1716912E+02  1.6539513E+01  1.3219944E+01  9.9936887E+00  9.9584877E+00 -9.1597093E-08
 -2.5714367E-07  1.1609798E+01  1.1645232E+01  1.4862294E+01  1.8156939E+01  1.4120644E+02  1.8156965E+01  1.4862291E+01  1.1645006E+01  1.1609802E+01 -2.5714281E-07
 -6.5538269E-08 -7.3572451E-02 -6.2783614E-02  3.2252649E+00  6.5467859E+00  3.2048922E+01  6.5467965E+00  3.2252482E+00 -6.3002900E-02 -7.3572454E-02 -6.5539571E-08
  7.3082101E-09  5.1424380E-01  5.2559343E-01  3.8024652E+00  7.0968801E+00  3.4442418E+01  7.0968919E+00  3.8024497E+00  5.2537179E-01  5.1424426E-01  7.3119921E-09
